,electric_system,GWh,date,year,years,months
0,renewable,9207.1734095,1900-01-01,2019-01-01,2019,1
1,renewable,7431.8106885,1900-02-01,2019-01-01,2019,2
2,renewable,8735.798329,1900-03-01,2019-01-01,2019,3
3,renewable,8027.423091,1900-04-01,2019-01-01,2019,4
4,renewable,8629.058215,1900-05-01,2019-01-01,2019,5
5,renewable,6988.435091,1900-06-01,2019-01-01,2019,6
6,renewable,7160.620779,1900-07-01,2019-01-01,2019,7
7,renewable,6310.456933,1900-08-01,2019-01-01,2019,8
8,renewable,6818.9112724999995,1900-09-01,2019-01-01,2019,9
9,renewable,6420.1370875,1900-10-01,2019-01-01,2019,10
10,renewable,11103.335433499999,1900-11-01,2019-01-01,2019,11
11,renewable,11080.138477499999,1900-12-01,2019-01-01,2019,12
12,no renewable,15381.3826285,1900-01-01,2019-01-01,2019,1
13,no renewable,13141.0682005,1900-02-01,2019-01-01,2019,2
14,no renewable,12140.124408,1900-03-01,2019-01-01,2019,3
15,no renewable,11787.148815999999,1900-04-01,2019-01-01,2019,4
16,no renewable,11980.145199999999,1900-05-01,2019-01-01,2019,5
17,no renewable,13804.443566,1900-06-01,2019-01-01,2019,6
18,no renewable,16485.497781,1900-07-01,2019-01-01,2019,7
19,no renewable,16165.281864,1900-08-01,2019-01-01,2019,8
20,no renewable,14569.3022555,1900-09-01,2019-01-01,2019,9
21,no renewable,14634.069045499999,1900-10-01,2019-01-01,2019,10
22,no renewable,11541.9914235,1900-11-01,2019-01-01,2019,11
23,no renewable,11285.0825505,1900-12-01,2019-01-01,2019,12
24,renewable,9468.207515,1900-01-01,2020-01-01,2020,1
25,renewable,8722.709130000001,1900-02-01,2020-01-01,2020,2
26,renewable,10428.986065,1900-03-01,2020-01-01,2020,3
27,renewable,8286.3876335,1900-04-01,2020-01-01,2020,4
28,renewable,9439.573943,1900-05-01,2020-01-01,2020,5
29,renewable,8542.8081025,1900-06-01,2020-01-01,2020,6
30,renewable,9183.3188005,1900-07-01,2020-01-01,2020,7
31,renewable,8577.251164000001,1900-08-01,2020-01-01,2020,8
32,renewable,8110.877801,1900-09-01,2020-01-01,2020,9
33,renewable,9822.2523785,1900-10-01,2020-01-01,2020,10
34,renewable,8071.5086215,1900-11-01,2020-01-01,2020,11
35,renewable,11951.3109035,1900-12-01,2020-01-01,2020,12
36,no renewable,13275.074535,1900-01-01,2020-01-01,2020,1
37,no renewable,11615.083929999999,1900-02-01,2020-01-01,2020,2
38,no renewable,10604.213281,1900-03-01,2020-01-01,2020,3
39,no renewable,9221.7960755,1900-04-01,2020-01-01,2020,4
40,no renewable,8551.381783,1900-05-01,2020-01-01,2020,5
41,no renewable,10760.7140965,1900-06-01,2020-01-01,2020,6
42,no renewable,14765.1270835,1900-07-01,2020-01-01,2020,7
43,no renewable,13986.809220000001,1900-08-01,2020-01-01,2020,8
44,no renewable,13235.020292,1900-09-01,2020-01-01,2020,9
45,no renewable,11129.7688825,1900-10-01,2020-01-01,2020,10
46,no renewable,11832.5570425,1900-11-01,2020-01-01,2020,11
47,no renewable,11816.0054935,1900-12-01,2020-01-01,2020,12
48,renewable,12561.066857000002,1900-01-01,2021-01-01,2021,1
49,renewable,12359.937817,1900-02-01,2021-01-01,2021,2
50,renewable,11799.986558,1900-03-01,2021-01-01,2021,3
51,renewable,9240.646799,1900-04-01,2021-01-01,2021,4
52,renewable,10433.361648,1900-05-01,2021-01-01,2021,5
53,renewable,9281.1262145,1900-06-01,2021-01-01,2021,6
54,renewable,10370.985670499998,1900-07-01,2021-01-01,2021,7
55,renewable,9172.3866125,1900-08-01,2021-01-01,2021,8
56,renewable,7458.7786115,1900-09-01,2021-01-01,2021,9
57,renewable,7977.664876,1900-10-01,2021-01-01,2021,10
58,renewable,9639.3859945,1900-11-01,2021-01-01,2021,11
59,renewable,11075.8952615,1900-12-01,2021-01-01,2021,12
60,no renewable,11744.358054,1900-01-01,2021-01-01,2021,1
61,no renewable,8774.384231,1900-02-01,2021-01-01,2021,2
62,no renewable,10297.202828,1900-03-01,2021-01-01,2021,3
63,no renewable,10659.717630000001,1900-04-01,2021-01-01,2021,4
64,no renewable,10038.119418,1900-05-01,2021-01-01,2021,5
65,no renewable,10576.2823965,1900-06-01,2021-01-01,2021,6
66,no renewable,12059.1206505,1900-07-01,2021-01-01,2021,7
67,no renewable,12402.7048845,1900-08-01,2021-01-01,2021,8
68,no renewable,13213.550046499999,1900-09-01,2021-01-01,2021,9
69,no renewable,12634.176936,1900-10-01,2021-01-01,2021,10
70,no renewable,13357.102037499999,1900-11-01,2021-01-01,2021,11
71,no renewable,12777.055318499999,1900-12-01,2021-01-01,2021,12
72,renewable,9714.039562000002,1900-01-01,2022-01-01,2022,1
73,renewable,8204.74865,1900-02-01,2022-01-01,2022,2
74,renewable,10375.569812000002,1900-03-01,2022-01-01,2022,3
75,renewable,10931.47619,1900-04-01,2022-01-01,2022,4
76,renewable,11077.822285,1900-05-01,2022-01-01,2022,5
77,renewable,9211.246163,1900-06-01,2022-01-01,2022,6
78,renewable,10104.879795500001,1900-07-01,2022-01-01,2022,7
79,no renewable,14547.830418,1900-01-01,2022-01-01,2022,1
80,no renewable,12883.808773,1900-02-01,2022-01-01,2022,2
81,no renewable,12377.721298,1900-03-01,2022-01-01,2022,3
82,no renewable,10812.771745,1900-04-01,2022-01-01,2022,4
83,no renewable,10992.898016000001,1900-05-01,2022-01-01,2022,5
84,no renewable,13998.027109999999,1900-06-01,2022-01-01,2022,6
